order_id,date,time
1,31-12-2023,19:35:53
2,31-12-2023,19:22:31
3,31-12-2023,19:19:26
4,31-12-2023,19:18:44
5,31-12-2023,19:17:49
6,31-12-2023,19:16:54
7,31-12-2023,19:06:29
8,31-12-2023,19:05:04
9,31-12-2023,19:02:33
10,31-12-2023,18:52:10
11,31-12-2023,18:46:11
12,31-12-2023,18:40:22
13,31-12-2023,18:38:38
14,31-12-2023,18:37:20
15,31-12-2023,18:36:06
16,31-12-2023,18:28:05
17,31-12-2023,18:28:04
18,31-12-2023,18:18:30
19,31-12-2023,18:09:28
20,31-12-2023,18:07:19
21,31-12-2023,18:07:03
22,31-12-2023,18:01:42
23,31-12-2023,17:53:14
24,31-12-2023,17:47:46
25,31-12-2023,17:36:51
26,31-12-2023,17:22:08
27,31-12-2023,17:21:24
28,31-12-2023,17:17:26
29,31-12-2023,17:16:32
30,31-12-2023,16:46:41
31,31-12-2023,16:44:35
32,31-12-2023,16:37:14
33,31-12-2023,16:31:27
34,31-12-2023,16:31:16
35,31-12-2023,16:30:41
36,31-12-2023,16:30:34
37,31-12-2023,16:06:42
38,31-12-2023,16:01:07
39,31-12-2023,15:52:48
40,31-12-2023,15:52:16
41,31-12-2023,15:35:37
42,31-12-2023,15:28:07
43,31-12-2023,15:13:40
44,31-12-2023,14:52:25
45,31-12-2023,14:43:46
46,31-12-2023,14:40:24
47,31-12-2023,13:34:19
48,31-12-2023,13:29:39
49,31-12-2023,13:16:45
50,31-12-2023,13:07:42
51,31-12-2023,13:04:18
52,31-12-2023,12:48:36
53,31-12-2023,12:44:37
54,31-12-2023,12:41:37
55,31-12-2023,12:34:06
56,31-12-2023,12:14:54
57,31-12-2023,12:09:59
58,31-12-2023,12:01:03
59,31-12-2023,11:58:28
60,31-12-2023,11:38:45
61,31-12-2023,11:22:31
62,30-12-2023,20:53:22
63,30-12-2023,20:40:22
64,30-12-2023,20:12:27
65,30-12-2023,19:42:38
66,30-12-2023,19:15:08
67,30-12-2023,19:07:56
68,30-12-2023,19:07:52
69,30-12-2023,18:59:45
70,30-12-2023,18:46:33
71,30-12-2023,17:47:04
72,30-12-2023,17:41:53
73,30-12-2023,17:28:50
74,30-12-2023,17:28:45
75,30-12-2023,16:53:03
76,30-12-2023,16:41:31
77,30-12-2023,16:04:28
78,30-12-2023,15:59:06
79,30-12-2023,15:45:32
80,30-12-2023,14:15:37
81,30-12-2023,13:50:49
82,30-12-2023,13:46:20
83,30-12-2023,13:37:22
84,30-12-2023,13:18:13
85,30-12-2023,13:10:02
86,30-12-2023,12:59:21
87,30-12-2023,12:46:16
88,30-12-2023,12:45:20
89,30-12-2023,12:21:13
90,30-12-2023,11:57:57
91,30-12-2023,11:54:59
92,30-12-2023,11:37:28
93,30-12-2023,11:32:31
94,29-12-2023,22:22:20
95,29-12-2023,22:10:05
96,29-12-2023,21:15:19
97,29-12-2023,19:54:11
98,29-12-2023,19:38:11
99,29-12-2023,19:20:11
100,29-12-2023,18:55:31
101,29-12-2023,18:22:26
102,29-12-2023,18:00:28
103,29-12-2023,17:44:23
104,29-12-2023,17:02:03
105,29-12-2023,16:50:39
106,29-12-2023,16:32:50
107,29-12-2023,16:05:16
108,29-12-2023,15:52:36
109,29-12-2023,14:43:26
110,29-12-2023,13:51:12
111,29-12-2023,13:43:53
112,29-12-2023,13:39:34
113,29-12-2023,13:33:48
114,29-12-2023,13:20:17
115,29-12-2023,13:16:36
116,29-12-2023,13:14:19
117,29-12-2023,12:49:31
118,29-12-2023,12:27:35
119,29-12-2023,12:05:39
120,29-12-2023,11:45:49
121,28-12-2023,22:27:25
122,28-12-2023,22:22:45
123,28-12-2023,21:58:08
124,28-12-2023,21:42:50
125,28-12-2023,20:37:13
126,28-12-2023,19:41:40
127,28-12-2023,19:15:46
128,28-12-2023,19:01:13
129,28-12-2023,18:41:13
130,28-12-2023,18:20:19
131,28-12-2023,18:12:37
132,28-12-2023,18:10:01
133,28-12-2023,17:43:20
134,28-12-2023,17:29:10
135,28-12-2023,17:26:23
136,28-12-2023,17:08:13
137,28-12-2023,17:06:33
138,28-12-2023,16:32:44
139,28-12-2023,16:32:04
140,28-12-2023,16:00:49
141,28-12-2023,15:39:02
142,28-12-2023,15:28:45
143,28-12-2023,14:11:40
144,28-12-2023,14:11:38
145,28-12-2023,13:39:50
146,28-12-2023,13:27:18
147,28-12-2023,13:12:26
148,28-12-2023,12:54:56
149,28-12-2023,12:46:51
150,28-12-2023,12:38:57
151,28-12-2023,12:38:39
152,28-12-2023,12:31:03
153,28-12-2023,12:16:59
